Product Title,Product Sub Title,Manufacturer Name,Manufacturer Code,Item Code,Category A,Category B,Category C,Image A,Image A (500 x 500),Stock Quantity,Price
StarTech.com 4 Port PCI 1394a FireWire Adapter Card with Digital Video Editing Kit,StarTech.com 4 Port PCI 1394a FireWire Adapter Card with Digital Video Editing Kit - PCI FireWire 400 - 1394 Card,Startech,PCI1394_4,STH-PCI1394-4,Components,IO Devices,Firewire,http://www.e-cdn.co.uk/original-images/283251.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/283251.jpg,0,11.93
StarTech.com 3 Port 2b 1a PCI 1394b FireWire Adapter Card with DV Editing Kit,StarTech.com 3 Port 2b 1a PCI 1394b FireWire Adapter Card with DV Editing Kit,Startech,PCI1394B_3,STH-PCI1394B-3,Components,IO Devices,Firewire,http://www.e-cdn.co.uk/original-images/285946.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285946.jpg,0,31.79
StarTech.com 4 port PCI 1394a FireWire Adapter Card - 3 External 1 Internal,StarTech.com 4 port PCI 1394a FireWire Adapter Card - 3 External 1 Internal,Startech,PCI1394MP,STH-PCI1394MP,Components,IO Devices,Firewire,http://www.e-cdn.co.uk/original-images/281467.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281467.jpg,11,12.88
StarTech.com 1 Port PCI Parallel Adapter Card,1 Port PCI Parallel Adapter Card,Startech,PCI1P2,STH-PCI1P2,Components,IO Devices,Parallel,http://www.e-cdn.co.uk/original-images/285056.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285056.jpg,0,14.28
StarTech.com 1 Port PCI Parallel Adapter Card,1 Port PCI Parallel Adapter Card,Startech,PCI1PECP,STH-PCI1PECP,Components,IO Devices,Parallel,http://www.e-cdn.co.uk/original-images/280643.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280643.jpg,0,17.74
StarTech.com PCI to PCI Express Adapter Card,StarTech.com PCI to PCI Express Adapter Card,Startech,PCI1PEX1,STH-PCI1PEX1,Components,IO Devices,PCI Express,http://www.e-cdn.co.uk/original-images/285968.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285968.jpg,5,26.3
StarTech.com 1 Port PCI Parallel Adapter Card with Re-mappable Address,StarTech.com 1 Port PCI Parallel Adapter Card with Re-mappable Address - 1 Port PCI Parallel Card - 1 Port IEEE 1284 Card,Startech,PCI1PM,STH-PCI1PM,Networking & Communications,Wireless,PCI/PCI-E Adapters,http://www.e-cdn.co.uk/original-images/281493.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/281493.jpg,0,16.89
StarTech.com 1 Port PCI RS232 Serial Adapter Card with 16550 UART,StarTech.com 1 Port PCI RS232 Serial Adapter Card with 16550 UART - PCI Serial Adapter - PCI rs232 - PCI Serial Card,Startech,PCI1S550,STH-PCI1S550,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/284184.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/284184.jpg,4,14.28
StarTech.com 1 Port PCI RS232 Serial Adapter Card w/ 16950 UART - Dual Voltage,StarTech.com 1 Port PCI RS232 Serial Adapter Card w/ 16950 - Dual Voltage - PCI Serial Adapter - PCI RS232 - PCI Serial Card,Startech,PCI1S950DV,STH-PCI1S950DV,Components,IO Devices,Serial,http://www.e-cdn.co.uk/original-images/282384.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/282384.jpg,0,12.67
StarTech.com 3 Port PCI Low Profile High Speed USB 2.0 Adapter Card,"PCI/PCI-X, 3 x USB A, 480 Mbps",Startech,PCI220USBLP,STH-PCI220USBLP,Components,IO Devices,USB,http://www.e-cdn.co.uk/original-images/285085.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/285085.jpg,2,10.69
StarTech.com 2 Port PCI Parallel Adapter Card - EPP/ECP,StarTech.com 2 Port PCI Parallel Adapter Card - EPP/ECP - PCI DB25 Card - IEEE 1284 Card - PCI Parallel Card,Startech,PCI2PECP,STH-PCI2PECP,Components,IO Devices,Parallel,http://www.e-cdn.co.uk/original-images/280668.jpg,http://www.e-cdn.co.uk/thumb-images/500x500/280668.jpg,0,26.77
